Model;Dataset;Num_Features;MAE;MSE;RMSE;RSR;MAPE;sMAPE;R2;EVS;MBE;CV(RMSE)%;MdAE;MaxE;NSE;KGE;CCC;VAF(%);PI;Best_Params
DT;Test;5;0,0895;0,0137;0,1171;0,2852;6,9676;6,9574;0,9184;0,9185;-0,0025;8,8413;0,0673;0,4316;0,9184;0,9513;0,9582;91,848;7,8405;{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10}
DT;Unseen;5;0,0885;0,0136;0,1164;0,2635;6,6068;6,6077;0,9302;0,9302;0,0006;8,4189;0,072;0,4699;0,9302;0,9576;0,9643;93,0198;7,9908;{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10}
AdaBoost;Train;11;0,1238;0,0233;0,1526;0,3799;11,3054;10,3565;0,8556;0,8818;0,065;11,488;0,1071;0,4311;0,8556;0,7697;0,9116;88,1756;5,6068;{'n_estimators': 100, 'loss': 'linear', 'learning_rate': 1.0}
AdaBoost;Test;11;0,1275;0,0243;0,1559;0,3796;11,2622;10,4127;0,8555;0,8849;0,0703;11,7678;0,1118;0,532;0,8555;0,7726;0,9121;88,4863;5,487;{'n_estimators': 100, 'loss': 'linear', 'learning_rate': 1.0}
AdaBoost;Unseen;11;0,1284;0,0275;0,1659;0,3755;10,5523;9,8703;0,8583;0,8699;0,0475;11,9956;0,1053;0,6217;0,8583;0,7439;0,91;86,9928;5,1747;{'n_estimators': 100, 'loss': 'linear', 'learning_rate': 1.0}
RF;Train;8;0,0258;0,0013;0,0354;0,0882;2,0876;2,0726;0,9922;0,9922;0,0002;2,6664;0,0197;0,2238;0,9922;0,9548;0,9959;99,2219;28,0152;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
RF;Test;8;0,0646;0,008;0,0892;0,2173;5,1125;5,0189;0,9527;0,9528;0,0048;6,7356;0,046;0,427;0,9527;0,8915;0,9737;95,28;10,675;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
RF;Unseen;8;0,0763;0,0113;0,1061;0,2402;5,7145;5,6727;0,942;0,9423;-0,0081;7,6742;0,0588;0,4917;0,942;0,8638;0,9669;94,2341;8,8774;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
GBDT;Train;8;0,018;0,0005;0,0227;0,0565;1,4956;1,4936;0,9968;0,9968;0,0002;1,7085;0,0155;0,0989;0,9968;0,9966;0,9984;99,6806;43,9241;{'subsample': 0.8, 'n_estimators': 200, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 20, 'max_depth': 5, 'learning_rate': 0.1}
GBDT;Test;8;0,0448;0,0035;0,0591;0,1438;3,5482;3,5052;0,9793;0,9796;0,0077;4,4585;0,0362;0,2776;0,9793;0,9823;0,9895;97,9612;16,5774;{'subsample': 0.8, 'n_estimators': 200, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 20, 'max_depth': 5, 'learning_rate': 0.1}
GBDT;Unseen;8;0,0549;0,0053;0,0725;0,1641;4,2427;4,2213;0,9729;0,9732;0,0073;5,2417;0,042;0,2572;0,9729;0,9799;0,9863;97,3218;13,4241;{'subsample': 0.8, 'n_estimators': 200, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 20, 'max_depth': 5, 'learning_rate': 0.1}
HGB;Train;10;0,0174;0,0005;0,0225;0,0561;1,4109;1,4089;0,9969;0,9969;0,0;1,6949;0,0146;0,1524;0,9969;0,9959;0,9984;99,6856;44,2776;{'max_leaf_nodes': 20, 'max_iter': 200, 'learning_rate': 0.1, 'l2_regularization': 0.1}
HGB;Test;10;0,0444;0,0035;0,0592;0,1441;3,5004;3,4717;0,9792;0,9793;0,0052;4,4666;0,0326;0,2575;0,9792;0,9832;0,9895;97,9347;16,546;{'max_leaf_nodes': 20, 'max_iter': 200, 'learning_rate': 0.1, 'l2_regularization': 0.1}
HGB;Unseen;10;0,0529;0,0048;0,0696;0,1575;4,0;3,9675;0,9751;0,9751;0,0034;5,0319;0,0435;0,2549;0,9751;0,9694;0,9872;97,5124;14,0142;{'max_leaf_nodes': 20, 'max_iter': 200, 'learning_rate': 0.1, 'l2_regularization': 0.1}
KR;Train;9;0,0342;0,0021;0,0456;0,1135;2,7706;2,7692;0,9871;0,9871;-0,0;3,4308;0,027;0,2754;0,9871;0,9906;0,9935;98,7118;21,6608;{'kernel': 'polynomial', 'gamma': 0.1, 'alpha': 0.01}
KR;Test;9;0,0443;0,0034;0,0585;0,1425;3,6395;3,6507;0,9796;0,9798;0,0052;4,4165;0,0351;0,2773;0,9796;0,9638;0,9902;97,9809;16,7415;{'kernel': 'polynomial', 'gamma': 0.1, 'alpha': 0.01}
KR;Unseen;9;0,0713;0,0086;0,0929;0,2103;5,391;5,6142;0,9556;0,9738;-0,0595;6,7175;0,0571;0,3962;0,9556;0,9355;0,977;97,3814;10,2877;{'kernel': 'polynomial', 'gamma': 0.1, 'alpha': 0.01}
PolyR;Train;9;0,0342;0,0021;0,0455;0,1133;2,7715;2,7697;0,9872;0,9872;0,0;3,4262;0,0269;0,2739;0,9872;0,9901;0,9935;98,7153;21,6908;{'ridge__alpha': 1, 'poly__interaction_only': False, 'poly__degree': 3}
PolyR;Test;9;0,0455;0,0036;0,0602;0,1466;3,7721;3,7913;0,9785;0,9785;0,0022;4,5434;0,0356;0,2682;0,9785;0,9682;0,9896;97,8491;16,2543;{'ridge__alpha': 1, 'poly__interaction_only': False, 'poly__degree': 3}
PolyR;Unseen;9;0,0736;0,009;0,095;0,2151;5,5587;5,7964;0,9535;0,9735;-0,0624;6,8729;0,058;0,3965;0,9535;0,9342;0,9759;97,3519;10,0332;{'ridge__alpha': 1, 'poly__interaction_only': False, 'poly__degree': 3}
ExtraTrees;Train;8;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;100,0;268315030352290,5;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
ExtraTrees;Test;8;0,0605;0,0069;0,0833;0,2027;4,8916;4,7974;0,9588;0,9588;0,0013;6,2837;0,0477;0,3598;0,9588;0,8788;0,9768;95,8813;11,5164;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
